,0,1,2,3,4
0,2092,2358,2258,1472,4
1,2088,2354,2240,1473,4
2,1380,1562,1491,3690,1
3,2156,2540,2806,3248,3
4,2152,2616,2934,3713,3
5,1244,1289,1180,3299,2
6,1338,1466,1279,4062,2
7,2118,2376,2274,1495,4
8,1552,1682,1732,3723,3
9,2080,2346,2248,1507,4
10,2422,2910,3120,3736,3
11,1469,1655,1592,3432,1
12,2162,2404,2310,1501,4
13,1220,1339,1194,3507,2
14,1265,1447,1240,4072,2
15,1210,1304,1175,3267,2
16,2180,2590,2810,3735,3
17,1268,1424,1250,4177,2
18,1274,1357,1210,3271,2
19,1223,1306,1177,3061,2
20,1429,1643,1625,3292,3
21,2184,2648,2914,3618,3
22,1243,1334,1188,3542,2
23,1288,1438,1245,3822,2
24,1206,1222,1126,2451,2
25,1246,1354,1214,3363,2
26,1278,1354,1252,3042,2
27,1510,1700,1659,2634,4
28,1482,1714,1606,3735,1
29,1379,1648,1498,4451,1
30,2178,2466,2334,1512,4
31,2038,2394,2620,3502,3
32,2582,3070,3422,3866,3
33,1443,1678,1592,3516,3
34,2106,2484,2756,3410,3
35,1323,1344,1330,1706,2
36,1463,1742,1613,4051,1
37,1262,1404,1228,3667,2
38,1245,1384,1215,3791,2
39,2298,2558,2338,1487,4
40,1247,1324,1211,3237,2
41,2288,2508,2716,2882,3
42,1858,2036,2180,3192,3
43,1521,1720,1646,3475,1
44,2912,3210,3446,3634,3
45,2022,2192,2294,2484,4
46,1329,1571,1344,4481,2
47,1278,1515,1254,4187,2
48,2158,2410,2278,1621,4
49,1294,1460,1238,4333,2
50,1604,1840,1807,2293,4
51,2760,3050,3238,3896,3
52,2304,2640,2824,3813,3
53,1339,1544,1263,4719,2
54,1256,1400,1203,3641,2
55,2202,2426,2310,1438,4
56,1470,1755,1617,3951,1
57,1319,1443,1278,3568,2
58,1253,1354,1199,3624,2
59,1342,1564,1288,5315,2
60,1708,1932,2038,2332,4
61,1242,1297,1201,3223,2
62,1232,1284,1159,2944,2
63,1660,1854,1946,2574,4
64,2426,2666,2836,3003,4
65,1744,1968,1872,1481,4
66,1307,1494,1248,4124,2
67,1252,1410,1212,3419,2
68,1281,1384,1201,3733,2
69,1261,1366,1209,3252,2
70,1294,1410,1222,3898,2
71,1248,1386,1177,3368,2
72,1257,1450,1217,4120,2
73,1243,1336,1171,3314,2
74,1392,1593,1501,3626,1
75,1372,1610,1508,3728,1
76,1317,1466,1334,3821,1
77,1274,1432,1256,3667,2
78,1400,1692,1561,3864,1
79,1254,1339,1210,3143,2
80,1339,1520,1416,3386,1
81,1778,1956,1888,1633,4
82,1322,1465,1270,4342,2
83,1260,1430,1234,3779,2
84,1468,1761,1478,4369,1
85,1209,1364,1204,3541,2
86,1621,1896,1662,1796,4
87,2104,2340,2202,1547,4
88,1386,1557,1535,3509,1
89,1354,1572,1358,3824,2
90,1238,1349,1206,3409,2
91,1258,1330,1202,3161,2
92,1330,1546,1299,4309,2
93,1286,1394,1209,3802,2
94,1251,1354,1225,3566,2
95,1415,1558,1396,1388,3
96,1232,1304,1180,3196,2
97,1293,1417,1231,3504,2
98,1298,1382,1236,3525,2
99,1357,1588,1342,4337,1
