B02,B03,B04,B08,Gewas
1260,1240,1324,1402,4
651,814,1062,1443,4
733,1015,928,1642,4
523,546,612,737,4
149,156,107,225,2
661,926,799,2499,4
679,836,764,1969,4
346,522,364,4206,7
294,623,233,5081,3
470,778,761,2592,3
597,766,713,1866,4
349,653,403,3521,7
298,579,304,5052,3
359,737,369,4856,3
321,543,352,4792,7
388,564,493,2150,4
457,731,728,2365,7
151,169,102,132,2
317,576,321,4608,7
1278,1544,1958,2787,3
318,555,361,4456,7
396,673,549,3213,7
360,664,418,3182,7
393,728,416,4368,3
397,637,586,2486,7
462,714,742,2413,3
326,626,276,4947,7
261,354,250,1307,2
256,499,299,1251,2
220,291,186,242,2
231,258,199,449,2
342,580,343,3134,3
470,744,612,3057,7
193,217,162,256,2
420,637,528,2552,3
195,329,202,2998,6
319,415,273,2501,6
397,668,534,2514,7
268,356,272,2051,6
510,662,832,1954,4
261,389,287,2692,6
846,1052,1258,2247,3
2190,2288,2414,2484,4
326,473,529,1929,1
760,907,1072,1772,3
463,689,644,2833,7
237,370,234,2113,6
2046,2648,3342,4219,5
380,586,534,2747,4
185,222,149,147,2
232,285,283,1804,6
539,774,813,2165,4
1494,2068,2584,3708,5
276,413,307,2170,6
201,233,147,173,2
215,220,119,103,2
237,381,309,2097,6
424,689,560,2760,7
2236,2994,3724,4529,5
1682,2314,2856,3742,5
485,608,682,1610,1
634,734,914,1928,1
540,865,884,2994,7
456,744,730,2793,3
1976,2658,3458,4353,5
196,337,217,2236,6
394,484,624,1643,1
296,417,479,2265,1
420,457,523,937,2
2186,3010,3646,4416,5
473,621,722,1878,1
2106,2938,3620,4356,5
532,749,819,2134,1
236,355,242,2222,6
2200,3152,3974,4703,5
430,546,658,2086,1
261,397,288,2447,6
2060,2942,3662,4512,5
2216,3062,3848,4531,5
337,367,516,1968,1
