alt;lat;lon;meteostationid;name;provider;source;wmocode
0.0;52.465;4.518;209;IJMOND;None;None;None
-0.2;52.171;4.43;210;Valkenburg;KNMI_DAILY;KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) (http://www.knmi.nl/klimatologie/metadata/debilt.html);62100
-1.1;52.141;4.437;215;VOORSCHOTEN;None;None;None
4.4;52.463;4.555;225;IJMUIDEN;None;None;None
0.57;52.928;4.783;235;De Kooy;KNMI_DAILY;KONINKLIJKNEDERLANDSMETEOROLOGISCHINSTITUUT(KNMI)(http://www.knmi.nl/klimatologie/metadata/debilt.html);62350
-4.18;52.318;4.79;240;Schiphol;KNMI_DAILY;KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) (http://www.knmi.nl/klimatologie/metadata/debilt.html);62400
1.72;52.241;4.921;242;Vlieland;KNMI_DAILY;KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) (http://www.knmi.nl/klimatologie/metadata/debilt.html);62420
0.8;52.634;5.174;248;WIJDENES;None;None;None
-2.4;52.644;4.979;249;Berkhout;KNMI_DAILY;KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) (http://www.knmi.nl/klimatologie/metadata/debilt.html);62490
0.73;52.392;5.346;251;Hoorn Terschelling;None;KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) (http://www.knmi.nl/klimatologie/metadata/debilt.html)KNMI_DAILY;62510
8.5;52.506;4.603;257;Wijk aan Zee;KNMI_DAILY;KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) (http://www.knmi.nl/klimatologie/metadata/debilt.html);62570
7.3;52.649;5.401;258;HOUTRIBDIJK;None;None;None
2.0;52.1;5.18;260;De Bilt;KNMI_DAILY;KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) (http://www.knmi.nl/klimatologie/metadata/debilt.html);62600
